"","PMID","Abstract","Year","Title"
"1","33117894","Background: The coronavirus disease 2019 (COVID-19) has resulted in an unprecedented research response, demonstrating exceptional examples of rapid research and collaboration. There is however a need for greater coordination, with limited resources and the shifting global nature of the pandemic resulting in a proliferation of research projects underpowered and unable to achieve their aims. Methods: The UK Collaborative on Development Research (UKCDR) and Global Research Collaboration for Infectious Disease Preparedness (GloPID-R), two funder coordination groups have collaborated to develop a live database of funded research projects across the world relating to COVID-19. Drawing data continually from their members and further global funding bodies, as of 15 th July 2021 the database contains 12,419 projects, funded by 255 funders, taking place across 149 countries representing an investment of at least $4.9 billion. To our knowledge it is one of the most comprehensive databases. The database is aligned to the World Health Organisation and GloPID-R Global Research Roadmap: 2019 Novel Coronavirus. It is being used by the WHO, governments and multi-lateral policy makers, research funders and researchers. This living mapping review aims to supplement the database by providing an open accessible and frequently updated resource summarising the characteristics of the COVID-19 funded research portfolio. Both descriptive and thematic analysis will be presented and updated frequently to aid interpretation of the global COVID-19 funded research portfolio. Results: In this version five analysis we provide an updated detailed descriptive analysis of the database (three months after version four) and focus our thematic analysis on research gaps, research areas in need of coordination, study populations and research locations (with a focus on resource-limited countries). Conclusions: As the global funding response to COVID-19 plateaus, this living mapping review helps both funders and researchers to prioritise resources to areas where there is continued unmet research need.",2022,"A living mapping review for COVID-19 funded research projects: one year update."
"2","33604025","Background: The COVID-19 pandemic has caused considerable morbidity, mortality and disruption to people's lives around the world. There are concerns that rates of suicide and suicidal behaviour may rise during and in its aftermath. Our living systematic review synthesises findings from emerging literature on incidence and prevalence of suicidal behaviour as well as suicide prevention efforts in relation to COVID-19, with this iteration synthesising relevant evidence up to 19 th October 2020. Method:  Automated daily searches feed into a web-based database with screening and data extraction functionalities. Eligibility criteria include incidence/prevalence of suicidal behaviour, exposure-outcome relationships and effects of interventions in relation to the COVID-19 pandemic. Outcomes of interest are suicide, self-harm or attempted suicide and suicidal thoughts. No restrictions are placed on language or study type, except for single-person case reports. We exclude one-off cross-sectional studies without either pre-pandemic measures or comparisons of COVID-19 positive vs. unaffected individuals. Results: Searches identified 6,226 articles. Seventy-eight articles met our inclusion criteria. We identified a further 64 relevant cross-sectional studies that did not meet our revised inclusion criteria. Thirty-four articles were not peer-reviewed (e.g. research letters, pre-prints). All articles were based on observational studies. There was no consistent evidence of a rise in suicide but many studies noted adverse economic effects were evolving. There was evidence of a rise in community distress, fall in hospital presentation for suicidal behaviour and early evidence of an increased frequency of suicidal thoughts in those who had become infected with COVID-19. Conclusions:  Research evidence of the impact of COVID-19 on suicidal behaviour is accumulating rapidly. This living review provides a regular synthesis of the most up-to-date research evidence to guide public health and clinical policy to mitigate the impact of COVID-19 on suicide risk as the longer term impacts of the pandemic on suicide risk are researched.",2020,"The impact of the COVID-19 pandemic on self-harm and suicidal behaviour: update of living systematic review."
"3","34216613","Sewer overflow (SO), which has attracted global attention, poses serious threat to public health and ecosystem. SO impacts public health via consumption of contaminated drinking water, aerosolization of pathogens, food-chain transmission, and direct contact with fecally-polluted rivers and beach sediments during recreation. However, no study has attempted to map the linkage between SO and public health including Covid-19 using scientometric analysis and systematic review of literature. Results showed that only few countries were actively involved in SO research in relation to public health. Furthermore, there are renewed calls to scale up environmental surveillance to safeguard public health. To safeguard public health, it is important for public health authorities to optimize water and wastewater treatment plants and improve building ventilation and plumbing systems to minimize pathogen transmission within buildings and transportation systems. In addition, health authorities should formulate appropriate policies that can enhance environmental surveillance and facilitate real-time monitoring of sewer overflow. Increased public awareness on strict personal hygiene and point-of-use-water-treatment such as boiling drinking water will go a long way to safeguard public health. Ecotoxicological studies and health risk assessment of exposure to pathogens via different transmission routes is also required to appropriately inform the use of lockdowns, minimize their socio-economic impact and guide evidence-based welfare/social policy interventions. Soft infrastructures, optimized sewer maintenance and prescreening of sewer overflow are recommended to reduce stormwater burden on wastewater treatment plant, curtail pathogen transmission and marine plastic pollution. Comprehensive, integrated surveillance and global collaborative efforts are important to curtail on-going Covid-19 pandemic and improve resilience against future pandemics.",2021,"Impact of sewer overflow on public health: A comprehensive scientometric analysis and systematic review."
"4","34217144","BACKGROUND: Vitamin-D is an immune-modulator which might be linked to disease severity by SARS-CoV-2.",2021,"""Vitamin D supplementation and COVID-19 treatment: A systematic review and meta-analysis""."
"5","34217144","METHODS: Meta-analysis of RCTs and quasi-experimental studies, evaluating the role of vitamin-D supplementation in COVID patients was done.",2021,"""Vitamin D supplementation and COVID-19 treatment: A systematic review and meta-analysis""."
"6","34217144","RESULTS: Total 5 studies (3 RCTs and 2 Quasi-experimental) including n = 467 patients were included. Vitamin D didn't reduce mortality (RR 0.55, 95%CI 0.22 to 1.39, p = 0.21), ICU admission rates (RR 0.20, 95% CI 0.01-4.26, p = 0.3) and need for invasive ventilation (RR 0.24, 95% CI 0.01-7.89, p = 0.42).",2021,"""Vitamin D supplementation and COVID-19 treatment: A systematic review and meta-analysis""."
"7","34217144","CONCLUSION: No significant difference with vitamin-D supplementation on major health related outcomes in COVID-19. Well-designed RCTs are required addressing this topic.",2021,"""Vitamin D supplementation and COVID-19 treatment: A systematic review and meta-analysis""."
"8","34217366","INTRODUCTION: Since the outbreak of the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) began, necessary measures to prevent virus transmission and reduce mortality have been implemented, including mandatory public use of masks, regular hand-sanitizing and hand-washing, social distancing, avoidance of crowds, remote work, and cancellation of public events. During and after the introduction of COVID-19 lockout, we performed a systematic review of available published literature to investigate the incidence of seasonal influenza and other respiratory viral infections.",2021,"Effects of COVID-19 prevention procedures on other common infections: a systematic review."
"9","34217366","METHODS: PubMed, Embase, Web of Science, Scopus, Science Direct, Google Scholar, Research Gate, and the World Health Organization databases and websites were systematically searched for original studies concerning the impact of COVID-19 prevention means and measures on other common respiratory infectious diseases during the pandemic published by March 2021.",2021,"Effects of COVID-19 prevention procedures on other common infections: a systematic review."
"10","34217366","RESULTS: The findings showed that the adherence to health protocols to prevent COVID-19 could help to reduce the incidence of other infectious diseases such as influenza, pneumonia, and Mycobacterium tuberculosis.",2021,"Effects of COVID-19 prevention procedures on other common infections: a systematic review."
