PMID,Error,Corrected,Note
35364003,"(OR=0.66, 95% CI: 0.44 to 1.01, [(P=0.05])","(OR=0.66, 95% CI: 0.44 to 1.01, [P=0.05])",""
35137874,"(95% CI, 3-9); p = 0.004)","(95% CI, 3-9; p = 0.004)",""
35137874,"(95% CI, 1-14); p = 0.02)","(95% CI, 1-14; p = 0.02)",""
35137874,"([95% CI, -0.08 to 0.01]; p = 0.09)","(95% CI, -0.08 to 0.01; p = 0.09)","Inhomogeneous Style/Formatting"
35078098,"(RR 0.73 [95%CI 0.63, 0.83], p < 0.001; I2: 42%.","(RR 0.73 [95%CI 0.63, 0.83], p < 0.001; I2: 42%).",""
35060458,"(n = 271,319 HCWs, mean age = 36.08 ± 8.33 (66.99% female)","(n = 271,319 HCWs, mean age = 36.08 ± 8.33, 66.99% female)",""
35055841,"(95% CI: 48-66%.","(95% CI: 48-66%).",""
34768118,"treatment given (mode of delivery, type of anaesthesia, type of pharmacological and non-pharmacological treatment","treatment given (mode of delivery, type of anaesthesia, type of pharmacological and non-pharmacological treatment)","Alternatives also possible"
34750495,"(n = 38,310) with D-dimer data)","(n = 38,310) with D-dimer data","probably better: with D-dimer data (n = 38,310)"
34739908,"[SMD 0.29, 95% CI -0.05 to 0.63; I2 = 0%; P = 0.09)","(SMD 0.29, 95% CI -0.05 to 0.63; I2 = 0%; P = 0.09)",""
34725056,"((RR 0.96 (95% CI 0.80 to 1.15, p=0.63))","(RR 0.96 (95% CI 0.80 to 1.15, p=0.63))",""
34725056,"((RR 1.02 (95% CI 0.79 to 1.31, p=0.89))","(RR 1.02 (95% CI 0.79 to 1.31, p=0.89))",""
34725056,"","","probably better variant: (RR ..., 95% CI ... to ..., p=...)"
34634250,"(0·9 [0·1 to 1·7; p=0·022] and 13·8 [10·7 to 17·0; p<0·0001].","(0·9 [0·1 to 1·7; p=0·022] and 13·8 [10·7 to 17·0; p<0·0001]).",""
34604571,"10.0%(95% CI: 8.0-11.0); P < 0.001; I2 = 99.7)","10.0% (95% CI: 8.0-11.0; P < 0.001; I2 = 99.7)",""
34604571,"1.0% (95% CI: 1.0-3.0); P < 0.001; I2 = 94.3)","1.0% (95% CI: 1.0-3.0; P < 0.001; I2 = 94.3)",""
34604571,"13.0% (95% CI: 9.0-17.0); P < 0.001, I2 = 95.6)","13.0% (95% CI: 9.0-17.0; P < 0.001; I2 = 95.6)",""
34604571,"37.0% (95% CI: 24.0-51.0); P < 0.001, I2 = 97.8)","37.0% (95% CI: 24.0-51.0; P < 0.001; I2 = 97.8)",""
34604571,"19.0% (95% CI: 13.0-24.0); P < 0.001; I2 = 99.8)","19.0% (95% CI: 13.0-24.0; P < 0.001; I2 = 99.8)",""
34600966,"(May-July SMC = .067 [95% CI: -.022 to .157]","(May-July SMC = .067 [95% CI: -.022 to .157])",""
34585556,"A comprehensive screening was conducted using major electronic databases),","A comprehensive screening was conducted using major electronic databases,",""
34585556,"(involving 8901 cases.","(involving 8901 cases).",""
34561232,"(risk ratio (RR): 0.83 (95% CI: 0.74 to 0.92, I2=0, tau2=0)","(risk ratio (RR): 0.83 (95% CI: 0.74 to 0.92), I2=0, tau2=0)",""
34558742,"(""COVID-19"" [Supplementary Concept]) AND ""tocilizumab"" [Supplementary Concept])","(""COVID-19"" [Supplementary Concept]) AND (""tocilizumab"" [Supplementary Concept])",""
34528234,"(40 technical","(4) technical",""
34501738,"(OR 0.74 ([95%CI 0.55-1.01], p = 0.057)","(OR 0.74 [95%CI 0.55-1.01], p = 0.057)",""
34501738,"(HR 0.50 ([95%CI 0.38-0.64], p < 0.001)","(HR 0.50 [95%CI 0.38-0.64], p < 0.001)",""
34501738,"(OR 0.16 ([95%CI 0.06-0.43], p < 0.001)","(OR 0.16 [95%CI 0.06-0.43], p < 0.001)",""
34485513,"12.58%; 95% CI: 7.31 to 18.96)","12.58% (95% CI: 7.31 to 18.96)",""
34362946,"[mean difference (MD) = 5.04 µg/mL, 95% CI 3.67-6.42)","[mean difference (MD) = 5.04 µg/mL, 95% CI 3.67-6.42]","the square brackets can be safely replaced by round brackets"
34326997,"and preprints from medRixv and bioRixv)","and preprints from medRixv and bioRixv,",""
34326997,"(risk ratio (RR) = 0.87, 95% confidence interval (CI) = 0.71-1.060","(risk ratio (RR) = 0.87, 95% confidence interval (CI) = 0.71-1.060)",""
34324595,"","","Strange format of numbered list: n)."
34309139,"(T1-native","(T1-native)","best guess"
